City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Butaritari,KI,2022-02-11 02:26:01,3.0707,172.7902,82.11,79,18,18.25
59,Iquique,CL,2022-02-11 02:25:15,-20.2208,-70.1431,69.84,71,6,1.83
60,Los Llanos De Aridane,ES,2022-02-11 02:26:02,28.6585,-17.9182,66.13,29,0,8.99
61,Dhidhdhoo,MV,2022-02-11 02:26:02,6.8833,73.1,80.78,76,59,9.33
62,Mataura,NZ,2022-02-11 02:26:03,-46.1927,168.8643,63.48,54,51,5.68
63,Prince Rupert,CA,2022-02-11 02:24:38,54.3161,-130.3201,38.89,86,0,5.75
64,Matay,EG,2022-02-11 02:26:03,28.419,30.7792,54.14,52,99,6.51
65,Torbay,CA,2022-02-11 02:26:03,47.6666,-52.7314,32.58,89,75,14.97
66,Busselton,AU,2022-02-11 02:26:04,-33.65,115.3333,88.09,42,0,7.43
67,Souillac,MU,2022-02-11 02:23:36,-20.5167,57.5167,75.58,94,40,2.3
68,Oriximina,BR,2022-02-11 02:26:04,-1.7656,-55.8661,74.34,95,100,2.8
69,Albany,US,2022-02-11 02:23:29,42.6001,-73.9662,36.82,88,42,3.94
70,Jamestown,US,2022-02-11 02:26:05,42.097,-79.2353,31.3,68,100,6.91
71,Vila,PT,2022-02-11 02:24:49,42.0304,-8.1588,44.33,86,91,2.17
72,Inongo,CD,2022-02-11 02:26:05,-1.95,18.2667,73.13,80,96,3.31
73,Tasiilaq,GL,2022-02-11 02:26:05,65.6145,-37.6368,17.76,59,100,6.46
74,Pauini,BR,2022-02-11 02:26:06,-7.7136,-66.9764,72.48,89,83,2.06
75,Grindavik,IS,2022-02-11 02:26:06,63.8424,-22.4338,32.47,64,75,5.75
76,Venice,US,2022-02-11 02:22:55,27.0998,-82.4543,59.99,80,0,4.61
77,Sangar,RU,2022-02-11 02:26:06,63.9242,127.4739,-30.89,97,63,2.95
78,Port Alfred,ZA,2022-02-11 02:22:23,-33.5906,26.891,67.5,86,9,6.11
79,Pokhara,NP,2022-02-11 02:26:07,28.2333,83.9833,52.11,52,85,3.76
80,Hailar,CN,2022-02-11 02:26:07,49.2,119.7,0.91,94,100,7.2
81,New Norfolk,AU,2022-02-11 02:26:08,-42.7826,147.0587,69.75,33,15,1.99
82,Zhigalovo,RU,2022-02-11 02:26:08,54.8097,105.1578,-24.5,98,72,0.58
83,Guerrero Negro,MX,2022-02-11 02:26:08,27.9769,-114.0611,65.17,49,0,8.25
84,Puerto Ayora,EC,2022-02-11 02:26:09,-0.7393,-90.3518,74.55,93,86,1.99
85,Bengkulu,ID,2022-02-11 02:26:09,-3.8004,102.2655,78.87,64,99,2.8
86,Tiksi,RU,2022-02-11 02:26:07,71.6872,128.8694,-10.71,92,100,13.96
87,Hilo,US,2022-02-11 02:26:09,19.7297,-155.09,76.73,75,100,8.05
88,Den Helder,NL,2022-02-11 02:26:10,52.9599,4.7593,43.07,81,75,25.01
89,Tommot,RU,2022-02-11 02:26:10,58.9564,126.2925,-17.86,95,99,1.52
90,Dikson,RU,2022-02-11 02:27:11,73.5069,80.5464,7.02,92,100,26.69
91,Khatanga,RU,2022-02-11 02:27:11,71.9667,102.5,-4.77,91,17,13.22
92,Itacoatiara,BR,2022-02-11 02:22:33,-3.1431,-58.4442,74.86,96,100,1.72
93,San Cristobal,VE,2022-02-11 02:27:11,7.7669,-72.225,71.78,90,92,1.5
