City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mar Del Plata,AR,-38.0023,-57.5575,47.08,89,0,4.61,clear sky
80,Yerbogachen,RU,61.2767,108.0108,55.71,61,78,4.63,broken clouds
81,Auki,SB,-8.7676,160.7034,83.66,71,95,6.8,overcast clouds
82,Ptuj,SI,46.4201,15.8702,63.73,94,100,4.61,drizzle
83,Half Moon Bay,US,37.4636,-122.4286,73.89,89,100,14.97,mist
84,Yatou,CN,37.15,122.3833,74.17,64,20,10.92,few clouds
85,Carnarvon,AU,-24.8667,113.6333,72.37,47,0,4.36,clear sky
86,Yellowknife,CA,62.456,-114.3525,70.32,28,20,12.66,few clouds
87,Hobart,AU,-42.8794,147.3294,48.06,81,75,23.02,light rain
88,Saint-Joseph,RE,-21.3667,55.6167,68.38,69,72,6.24,broken clouds
89,Jishou,CN,28.3167,109.7167,76.64,86,100,2.55,overcast clouds
90,Bludenz,AT,47.1497,9.8167,57.96,94,26,4.0,scattered clouds
91,Kahului,US,20.8947,-156.47,84.22,73,40,20.71,light rain
92,Paamiut,GL,61.994,-49.6678,40.1,78,0,5.91,clear sky
93,Luanda,AO,-8.8368,13.2343,69.4,83,82,4.21,broken clouds
94,Nikolskoye,RU,59.7035,30.7861,53.49,91,93,5.32,overcast clouds
95,Avarua,CK,-21.2078,-159.775,78.85,78,0,10.36,clear sky
96,Puerto Parra,CO,6.6515,-74.0573,76.01,86,100,1.68,overcast clouds
97,Namatanai,PG,-3.6667,152.4333,84.36,67,40,4.45,scattered clouds
98,Albion,US,42.2431,-84.753,69.75,45,100,5.75,overcast clouds
99,Katsuura,JP,35.1333,140.3,64.42,91,100,25.61,light rain
100,Bonthe,SL,7.5264,-12.505,77.56,87,100,5.03,light rain
101,Betong,TH,5.7743,101.0723,85.98,62,93,1.25,overcast clouds
102,Athabasca,CA,54.7169,-113.2854,63.01,65,100,11.1,overcast clouds
103,Georgetown,MY,5.4112,100.3354,89.53,72,20,3.44,few clouds
104,Pisco,PE,-13.7,-76.2167,64.45,82,26,8.05,mist
105,Konevo,RU,62.1215,39.3192,51.64,94,100,5.68,overcast clouds
106,Tank,PK,32.2217,70.3793,99.5,8,0,4.92,clear sky
107,Namakkal,IN,11.2213,78.1652,82.33,69,100,5.03,overcast clouds
108,Isangel,VU,-19.55,169.2667,80.71,74,75,4.61,broken clouds
109,Ayorou,NE,14.7308,0.9174,87.98,35,0,15.46,clear sky
110,Chokurdakh,RU,70.6333,147.9167,56.03,34,0,11.88,clear sky
111,Pevek,RU,69.7008,170.3133,34.07,80,39,9.69,scattered clouds
112,Hami,CN,42.8,93.45,82.02,16,0,10.4,clear sky
113,Hithadhoo,MV,-0.6,73.0833,82.38,70,87,3.11,overcast clouds
114,Bredasdorp,ZA,-34.5322,20.0403,54.82,55,11,4.9,few clouds
115,Kuzino,RU,57.0224,59.4412,53.08,74,100,4.97,overcast clouds
116,Kita,ML,13.0349,-9.4895,88.36,32,88,3.33,overcast clouds
